Characteristic,Neighbourhood Number,Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors (65+ years),Older Seniors (85+ years),  Single-detached house,  Apartment in a building that has five or more storeys,    Semi-detached house,    Row house,    Apartment or flat in a duplex,    Apartment in a building that has fewer than five storeys,    Other single-attached house,  Movable dwelling,  1 person,  2 persons,  3 persons,  4 persons,  5 or more persons, Average household size,"    Under $10,000 (including loss)","    $10,000 to $19,999","    $20,000 to $29,999","    $30,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 and over",  No bedrooms,  1 bedroom,  2 bedrooms,  3 bedrooms,  4 or more bedrooms
Kennedy Park,124,"2,775","2,175","7,120","2,510","2,550",330,1805,2835,350,125,680,695,80,0,2000,1735,1075,995,780,2.6,"2,580","3,400","2,490","1,845","1,405",750,470,285,265,90,"1,630","1,890","1,660","1,320"
Kensington-Chinatown,78,"1,315","3,350","8,760","1,795","2,705",480,70,4630,215,600,245,2930,55,0,4095,2580,990,570,485,2,"3,730","4,105","2,235","1,555","1,215",815,605,470,990,560,"3,665","2,470","1,000","1,055"
Kingsview Village-The Westway,6,"4,240","3,020","8,635","2,550","3,585",575,2175,4760,130,315,170,220,0,0,1760,2285,1400,1235,1110,2.82,"3,280","3,610","2,880","2,220","1,720","1,160",675,480,730,20,965,"3,180","2,495","1,115"
Kingsway South,15,"1,580","1,100","3,245","1,345","1,995",325,2310,790,70,50,30,335,0,0,850,1205,550,695,275,2.56,945,670,635,605,580,555,475,450,"2,395",0,315,990,"1,030","1,250"
Lambton Baby Point,114,"1,695",905,"3,310","1,050","1,025",140,1270,700,545,185,95,335,0,0,810,920,550,585,255,2.56,945,930,700,580,515,400,345,315,"1,210",20,515,690,"1,235",670
L'Amoreaux,117,"6,120","5,730","17,210","5,930","8,990","1,345",3685,6760,925,2415,420,830,15,0,3000,4210,3065,2610,2160,2.89,"7,720","8,935","6,100","4,205","3,140","1,935","1,200",850,"1,260",110,"2,085","3,820","4,760","4,270"
Lansing-Westgate,38,"2,420","2,105","7,590","1,910","2,160",360,2355,3335,30,0,185,655,15,0,1875,2145,1090,970,510,2.44,"2,485","1,975","1,535","1,300","1,170",935,775,660,"2,185",10,"1,690","2,280","1,115","1,485"
Lawrence Park North,105,"3,280","1,670","5,980","1,725","1,935",265,3110,205,885,30,185,1005,0,0,1270,1455,955,1275,465,2.69,"1,485","1,165",885,785,740,740,680,680,"3,570",20,735,735,"2,475","1,455"
Lawrence Park South,103,"2,845","2,095","5,870","2,115","2,235",315,3420,925,110,35,230,1015,5,0,1465,1690,850,1145,590,2.63,"1,715","1,225",975,890,825,725,685,575,"4,080",70,"1,065","1,000","1,180","2,435"
Leaside-Bennington,56,"3,285","2,175","6,455","2,340","2,550",400,3565,525,795,75,45,1420,0,0,1785,1725,1005,1375,565,2.59,"1,870","1,350","1,155","1,010","1,040",870,790,725,"3,920",95,"1,025","1,190","2,290","1,840"
Little Portugal,84,"1,400","1,605","9,385","1,325","1,855",255,270,2955,460,605,240,2835,45,0,2925,2710,945,560,285,2.03,"1,820","2,425","2,180","1,795","1,545","1,130",850,570,"1,035",110,"2,830","2,360","1,360",755
Long Branch,19,"1,335","1,130","4,705","1,520","1,405",140,1480,1135,80,90,230,1795,10,0,1870,1575,695,485,185,2.09,"1,235","1,530","1,335","1,080",965,645,485,395,745,55,"1,395","1,755","1,095",515
Malvern,132,"7,910","6,620","17,865","5,535","5,890",445,3475,3175,1275,3540,1220,655,85,0,2110,3035,2670,2655,2940,3.26,"7,225","7,990","5,935","4,770","3,535","1,975",995,580,510,65,"1,495","2,760","4,835","4,285"
Maple Leaf,29,"1,500","1,265","4,110","1,205","2,030",380,1635,800,175,95,205,635,0,5,765,1025,680,665,420,2.77,"1,280","1,595","1,665","1,240",840,455,325,210,335,10,620,910,"1,265",755
Markland Wood,12,"1,340","1,165","3,600","1,735","2,705",535,1780,2025,5,285,40,170,5,0,1180,1455,720,675,285,2.43,"1,210","1,285","1,180","1,045",970,790,600,470,"1,220",25,340,"1,195","1,700","1,055"
Milliken,130,"3,675","3,195","10,565","4,030","5,115",880,3900,1970,550,610,520,95,30,0,925,1960,1640,1460,1680,3.39,"4,940","6,165","3,560","2,315","1,615","1,010",630,390,580,35,500,"1,665","2,655","2,815"
Mimico (includes Humber Bay Shores),17,"3,505","3,010","17,695","4,620","5,160",565,2255,10810,285,915,355,3145,10,0,8220,5925,2010,1160,450,1.87,"3,990","4,780","3,825","3,460","3,160","2,600","2,150","1,590","3,395",470,"7,270","6,720","2,455",860
Morningside,135,"2,880","2,690","6,840","2,355","2,695",355,2280,2130,25,920,310,205,5,5,1205,1600,1080,1075,915,2.92,"2,860","2,950","2,340","1,830","1,380",855,485,325,425,20,930,"1,330","1,985","1,605"
Moss Park,73,"1,540","2,060","12,530","2,495","1,900",140,65,8240,135,630,110,2350,30,0,6855,3410,765,330,205,1.6,"2,730","3,440","1,935","1,540","1,450","1,250","1,130",945,"2,175",905,"6,785","2,830",710,325
Mount Dennis,115,"2,395","1,815","5,930","1,760","1,685",265,955,2495,150,335,210,1035,5,0,1455,1435,1065,705,525,2.56,"1,935","2,420","1,905","1,585","1,130",630,310,180,175,80,"1,255","1,845","1,510",495
Mount Olive-Silverstone-Jamestown,2,"7,090","5,240","13,615","3,475","3,560",300,1655,6165,160,1040,755,90,0,0,1510,2045,2010,2075,2215,3.32,"5,510","6,065","4,660","3,430","2,100","1,045",525,285,245,115,"1,195","4,030","2,905","1,610"
Mount Pleasant East,99,"2,980","1,705","7,620","2,020","2,455",260,2160,2275,1620,140,180,1055,5,0,2650,2170,1080,1205,325,2.25,"1,755","1,580","1,420","1,250","1,150","1,000",810,810,"3,415",130,"2,060","1,590","2,455","1,205"
Mount Pleasant West,104,"2,380","2,520","17,100","3,030","4,605",940,475,14785,185,200,100,1755,5,0,9670,5390,1520,720,200,1.65,"3,705","3,740","3,100","3,060","3,115","2,360","1,970","1,435","3,110","1,230","9,885","5,195",860,340
New Toronto,18,"1,610","1,390","5,215","1,580","1,525",140,1555,1180,215,260,200,1965,5,0,2200,1620,740,525,275,2.1,"1,560","2,050","1,440","1,110",970,655,455,395,685,165,"1,605","1,970","1,160",485
Newtonbrook East,50,"1,585","2,185","6,860","2,155","3,320",670,2760,2590,10,30,380,330,0,0,1585,1930,1160,935,515,2.54,"3,380","2,775","1,705","1,260","1,040",830,660,440,"1,115",80,"1,445","1,655","1,100","1,835"
Newtonbrook West,36,"2,810","3,325","10,410","3,110","4,165",685,2530,4400,605,550,375,495,0,0,2145,2740,1795,1375,915,2.64,"4,600","4,560","3,395","2,285","1,625","1,000",685,520,"1,000",55,"1,880","2,780","2,250","2,000"
Niagara,82,"2,055","2,415","23,320","1,885","1,510",95,35,15645,110,860,315,1770,50,0,10090,6640,1380,505,165,1.62,"2,840","3,200","2,735","2,935","3,530","3,330","2,765","2,110","4,500",715,"10,410","6,240","1,180",230
North Riverdale,68,"1,960","1,170","5,490","1,645","1,660",140,815,700,1305,360,315,1460,40,0,1655,1545,740,775,290,2.33,"1,375","1,415","1,085",890,810,695,555,545,"2,050",75,"1,340","1,005","1,355","1,220"
North St. James Town,74,"2,290","2,265","10,350","1,970","1,740",220,5,8845,0,100,20,575,0,0,4525,2830,1200,640,370,1.92,"3,065","3,910","2,660","2,020","1,440",755,580,340,545,565,"5,960","2,615",400,20
Oakridge,121,"2,865","1,680","6,050","1,595","1,655",255,1050,3175,140,200,440,250,15,0,1785,1220,860,755,660,2.57,"2,325","2,900","1,830","1,165",725,455,305,150,165,275,"2,075","1,485",895,550
Oakwood Village,107,"3,130","2,275","9,535","2,590","3,700",540,2795,1525,1260,20,685,2390,10,0,2655,2565,1645,1225,610,2.42,"2,735","3,810","3,075","2,240","1,670","1,090",810,575,"1,085",255,"2,230","2,140","2,820","1,250"
O'Connor-Parkview,54,"3,110","2,385","7,855","2,650","2,690",430,3030,2395,130,145,285,1485,0,0,2215,2265,1225,1110,660,2.48,"2,605","2,850","2,425","1,795","1,420","1,010",695,605,"1,135",100,"1,835","2,375","1,930","1,240"
Old East York,58,"1,470",915,"4,035","1,280","1,520",230,2220,520,170,0,425,455,5,0,1125,1165,640,600,265,2.43,"1,090","1,275","1,090",825,760,610,460,400,930,45,795,"1,060","1,250",650
Palmerston-Little Italy,80,"1,280","1,465","7,845","1,260","1,960",290,355,310,960,295,410,3890,130,0,2235,2225,945,595,335,2.17,"1,715","2,310","1,975","1,490","1,285",920,720,485,"1,325",115,"2,090","1,570","1,330","1,230"
Parkwoods-Donalda,45,"5,840","4,680","14,780","4,265","5,250",775,2555,6710,1355,1370,125,1185,15,0,3375,3890,2545,2225,1285,2.61,"5,090","5,145","4,280","3,435","2,795","2,040","1,395",985,"1,955",30,"2,200","4,670","3,865","2,565"
Pelmo Park-Humberlea,23,"1,745","1,370","4,645","1,390","1,590",205,1795,535,510,260,350,240,10,0,750,995,715,755,495,2.89,"1,335","1,550","1,460","1,210","1,000",715,505,350,380,10,315,635,"1,785",975
Playter Estates-Danforth,67,"1,150",735,"3,725",970,"1,220",195,630,925,580,60,200,1170,15,0,1450,1055,435,460,175,2.14,835,"1,075",805,645,565,495,325,350,"1,200",140,"1,185",770,835,645
Pleasant View,46,"2,050","2,080","6,470","2,020","3,195",355,1010,1475,1805,270,110,825,20,0,1025,1630,1190,970,705,2.86,"2,805","2,685","2,120","1,520","1,335",800,625,440,695,20,450,955,"1,970","2,125"
Princess-Rosethorn,10,"1,770","1,580","3,825","1,855","2,025",325,3295,440,5,40,55,15,10,0,560,1245,750,935,380,2.86,"1,340","1,065",905,745,755,740,575,525,"2,190",0,135,395,"1,505","1,840"
Regent Park,72,"1,635","1,775","5,575","1,100",730,50,5,3630,50,505,10,735,25,0,2155,1400,575,440,385,2.15,"1,950","2,285","1,325",885,635,495,345,235,430,340,"2,210","1,515",715,185
Rexdale-Kipling,4,"1,640","1,355","4,300","1,520","1,730",300,1775,460,30,430,480,670,0,0,985,1045,700,655,450,2.69,"1,460","1,795","1,490","1,120",930,580,375,250,260,10,625,830,"1,605",770
Rockcliffe-Smythe,111,"3,505","2,740","9,255","3,090","3,655",480,2765,3260,1055,240,465,1275,0,0,2985,2485,1545,1210,835,2.45,"3,130","4,075","3,250","2,515","1,895","1,235",770,460,475,280,"1,990","2,790","3,050",945
Roncesvalles,86,"2,300","1,305","7,990","1,690","1,680",185,675,1720,995,320,430,2715,20,20,2705,2095,925,805,370,2.16,"1,800","2,525","1,735","1,320","1,120",835,705,590,"1,505",400,"2,590","1,415","1,510",970
Rosedale-Moore Park,98,"2,625","2,185","7,925","3,030","5,140",750,2450,4990,485,260,345,1505,5,0,4155,3380,1005,980,525,2.05,"2,330","1,690","1,570","1,385","1,470","1,270","1,155",920,"5,530",140,"3,175","3,100","1,270","2,365"
Rouge,131,"7,960","6,700","18,510","6,690","6,625",685,7625,1015,1145,1855,1170,575,20,0,1635,2895,2575,3095,3170,3.44,"6,705","7,105","5,345","4,710","4,070","2,730","1,820","1,310","2,130",10,520,"1,745","4,450","6,660"
Runnymede-Bloor West Village,89,"2,050",960,"4,605","1,215","1,245",195,2025,0,760,50,240,735,10,0,840,1135,745,840,255,2.64,"1,040",935,840,740,705,645,545,530,"1,725",20,415,620,"1,890",865
Rustic,28,"1,940","1,405","3,615","1,115","1,865",365,1150,1965,210,5,85,240,0,0,890,1065,710,575,405,2.67,"1,300","1,880","1,510",995,705,370,215,160,210,20,775,"1,250","1,100",510
Scarborough Village,139,"3,365","2,360","6,685","2,095","2,225",430,1105,3980,30,270,170,355,0,0,1535,1500,1040,1005,840,2.77,"2,660","3,045","2,115","1,510","1,155",660,415,210,440,160,"1,095","2,345","1,640",675
South Parkdale,85,"2,115","2,275","12,440","2,475","2,540",360,200,7170,150,355,210,3280,5,5,5835,3360,1165,680,350,1.81,"2,985","4,515","3,330","2,570","1,745","1,110",650,430,685,935,"6,370","3,135",575,370
South Riverdale,70,"3,975","2,445","15,025","3,120","3,330",520,865,2175,2390,1660,685,4195,85,0,4340,3860,1800,1385,705,2.24,"3,505","4,365","2,775","2,210","1,940","1,660","1,440","1,270","3,260",285,"3,250","3,295","3,840","1,420"
St.Andrew-Windfields,40,"2,645","2,540","6,800","2,625","3,235",410,3245,1745,175,540,120,595,5,0,1310,1980,1225,1195,720,2.75,"2,710","2,000","1,500","1,220","1,195",985,760,655,"3,190",20,595,"1,645","1,310","2,855"
Steeles,116,"3,150","2,685","9,500","3,515","5,755",955,3725,2715,185,555,355,285,0,5,1255,2305,1675,1260,1320,3.11,"4,635","5,380","3,185","2,190","1,555","1,105",690,525,795,0,895,"1,820","2,300","2,805"
Stonegate-Queensway,16,"4,060","2,495","10,660","3,660","4,165",750,5790,1035,100,440,245,2765,5,0,3025,3300,1765,1710,590,2.4,"2,855","2,960","2,660","2,325","2,005","1,630","1,190","1,065","3,400",40,"1,785","3,110","3,370","2,060"
Tam O'Shanter-Sullivan,118,"3,885","3,225","10,675","3,510","6,160","1,220",3080,4860,165,920,670,340,30,0,2425,2990,1890,1600,1170,2.69,"4,435","5,265","3,740","2,730","1,985","1,335",865,600,950,110,"1,760","3,095","2,810","2,290"
Taylor-Massey,61,"2,950","1,690","7,580","1,750","1,705",270,600,4840,195,185,195,240,25,0,1895,1770,1135,970,500,2.47,"2,555","2,840","2,170","1,485","1,100",660,425,240,280,95,"2,805","2,080","1,005",280
The Beaches,63,"3,825","2,075","9,590","3,140","2,955",265,2590,640,1450,340,465,3925,15,0,3255,2920,1315,1405,525,2.27,"2,315","2,010","1,750","1,530","1,485","1,345","1,190","1,010","4,310",175,"2,105","2,265","2,950","1,935"
Thistletown-Beaumond Heights,3,"1,730","1,410","4,160","1,195","1,880",350,1575,680,300,50,375,295,5,0,570,880,645,565,615,3.09,"1,560","1,765","1,480","1,150",765,490,285,195,250,10,345,600,"1,295","1,030"
Thorncliffe Park,55,"5,600","2,455","9,020","1,665","2,365",425,0,6660,0,85,0,375,0,0,1920,1630,1065,1105,1415,2.93,"3,235","3,775","2,570","1,470","1,075",645,460,295,370,55,"3,380","2,975",680,35
Trinity-Bellwoods,81,"1,745","1,630","9,210","1,625","2,350",330,385,295,715,890,875,3385,365,0,2155,2350,1145,755,495,2.35,"2,240","2,945","2,305","1,545","1,380",970,705,540,"1,525",95,"1,730","1,760","1,835","1,490"
University,79,565,"1,485","3,590",650,"1,320",305,125,1125,215,285,185,1410,50,0,1445,1150,450,240,115,1.97,"1,230","1,135",860,635,485,385,305,220,755,90,"1,270",870,675,505
Victoria Village,43,"2,630","2,030","7,170","2,270","3,405",570,1250,3235,305,365,180,2060,15,0,2650,2140,1150,915,560,2.32,"2,580","3,115","2,320","1,840","1,445",895,560,395,635,285,"2,215","2,145","1,930",835
Waterfront Communities-The Island,77,"3,650","7,840","45,105","4,680","4,635",365,255,39265,40,560,80,535,20,0,22030,14470,2900,970,385,1.61,"7,830","6,735","5,700","6,120","6,880","6,565","5,650","4,385","10,750",905,"24,695","13,060","1,870",230
West Hill,136,"4,635","3,950","10,765","3,785","4,240",625,3220,3485,450,1445,735,635,30,0,2795,2530,1770,1585,1320,2.7,"4,170","4,930","3,580","2,810","2,210","1,360",790,530,665,285,"1,515","2,150","3,510","2,530"
West Humber-Clairville,1,"5,060","5,445","13,845","3,990","4,980",615,3870,2265,295,1310,1850,685,5,0,1800,2430,2020,1985,2050,3.2,"5,445","5,710","4,650","3,870","2,890","1,585",925,565,615,25,"1,335","1,970","3,460","3,505"
Westminster-Branson,35,"3,440","3,355","10,865","3,500","5,130","1,000",870,7735,555,470,145,455,0,0,2750,3100,1985,1480,945,2.55,"4,220","5,500","4,010","2,775","1,910","1,095",680,460,785,225,"1,890","4,440","2,685",965
Weston,113,"3,100","2,225","7,785","2,430","2,445",395,1620,4405,205,160,230,990,5,0,2805,2075,1210,865,640,2.33,"2,580","3,260","2,460","1,950","1,485",875,490,340,445,230,"2,680","2,570","1,370",760
Weston-Pelham Park,91,"1,675","1,415","5,275","1,415","1,325",150,505,500,1220,300,210,1475,15,0,1195,1115,800,660,460,2.62,"1,695","2,115","1,620","1,125",840,615,440,240,280,150,865,935,"1,630",635
Wexford/Maryvale,119,"4,215","3,650","11,380","3,940","4,715",905,5290,1865,15,360,1470,1105,5,5,2535,2775,1880,1630,1270,2.73,"4,005","4,680","4,095","2,990","2,380","1,580",995,600,750,35,"1,680","2,225","3,580","2,575"
